id,user_id,order_date,status
1,1,2026-06-17,completed
2,1,2026-06-18,completed
3,2,2026-06-18,shipped
4,3,2026-06-19,completed
5,3,2026-06-19,returned
6,4,2026-06-20,completed
7,5,2026-06-20,placed
8,5,2026-06-21,completed
9,6,2026-06-21,shipped
10,7,2026-06-22,completed
11,7,2026-06-22,completed
12,8,2026-06-23,shipped
13,9,2026-06-23,completed
14,10,2026-06-24,placed
15,2,2026-06-24,completed
16,4,2026-06-24,returned
17,6,2026-06-22,completed
18,8,2026-06-21,completed
19,1,2026-06-23,shipped
20,3,2026-06-24,completed
